"","C1","C2","C3","C4","C5","C6","C7","C8"
"X1490",0,0,0,0,0,1,1,1
"X1491",0,0,0,0,0,1,1,1
"X1492",0,0,0,0,0,1,1,1
"X1493",0,0,0,0,0,1,1,1
"X1494",0,0,0,0,0,1,1,1
"X1495",0,0,0,0,0,1,1,1
"X1504",0,0,0,0,0,0,0,1
"X1526",0,1,0,1,0,0,1,1
"X1539",0,1,0,1,1,0,1,1
"X1540",0,1,0,1,0,1,1,1
"X1549",0,1,0,1,0,0,1,1
"X1550",0,1,0,1,0,0,1,1
"X1551",0,0,0,0,0,0,1,1
"X1552",1,1,0,1,0,1,1,1
"X1558",0,1,0,1,0,0,1,1
"X1560",0,1,0,1,0,0,1,1
"X1599",0,1,0,1,0,0,1,1
"X1600",0,1,0,1,0,0,1,1
"X1601",0,1,0,1,0,0,1,1
"X1602",0,1,0,1,0,0,1,1
"X1603",0,1,0,1,0,0,1,1
"X1604",0,1,0,1,0,0,1,1
"X1605",0,1,0,1,0,0,1,1
"X1606",0,1,0,1,0,0,1,1
"X1607",0,1,0,1,0,0,1,1
"X1608",0,1,0,1,0,0,1,1
"X1609",0,1,0,1,0,0,1,1
"X1610",0,1,0,1,0,0,1,1
"X1611",0,1,0,1,0,0,1,1
"X1612",0,1,0,0,0,0,1,1
"X1613",0,1,0,1,0,0,1,1
"X1614",0,1,0,1,0,0,1,1
"X1615",0,1,0,1,0,0,1,1
"X1616",0,1,0,1,0,0,1,1
"X1618",0,1,0,1,0,0,1,1
"X1622",0,0,0,0,0,0,0,1
"X1623",0,0,0,0,0,1,1,0
"X1626",1,1,0,0,0,1,1,1
"X1628",0,0,0,0,0,0,1,0
"X1629",0,0,0,0,0,0,0,1
"X1630",0,0,0,0,0,0,0,1
"X1633",0,1,0,1,0,0,1,1
"X1634",1,1,1,1,0,1,1,1
"X1637",0,1,0,1,0,0,1,1
"X1638",0,1,0,1,0,0,1,1
"X1639",0,1,0,1,0,0,1,1
"X1640",0,0,0,1,0,1,1,1
"X1641",0,1,0,1,0,0,1,1
"X1646",0,0,0,1,0,0,1,1
"X1647",0,0,0,1,0,0,1,1
"X1650",0,1,0,1,0,1,1,1
